unmatched_lemma,book,chapter,verse,word_index,,tbesg form,BDAG,LSJ,CGL,Abbot-Smith,Notes
αββα,Galatians,4,6,18,,ἀββά,ἀββα,,,,"BDAG notes accented ἀββά in W-H and N.25, while others use ἀββᾶ"
αββα,Mark,14,36,3,,,,,,,
αββα,Romans,8,15,16,,,,,,,
Ἅβελ,Hebrews,11,4,4,,Ἄβελ,,,,,
Ἅβελ,Hebrews,12,24,13,,,,,,,
Ἅβελ,Luke,11,51,3,,,,,,,
Ἅβελ,Matthew,23,35,15,,,,,,,
Ἅγαβος,Acts,11,28,7,,Ἄγαβος,,,,,
Ἅγαβος,Acts,21,10,12,,,,,,,
ἀγαθουργέω,Acts,14,17,6,,ἀγαθοεργέω ,,,,,
Ἁγάρ,Galatians,4,24,19,,Ἄγαρ,,,,,
Ἁγάρ,Galatians,4,25,3,,,,,,,
ᾅδης,Acts,2,27,8,,ᾍδης,,,,,
ᾅδης,Acts,2,31,12,,,,,,,
ᾅδης,Luke,10,15,10,,,,,,,
ᾅδης,Luke,16,23,4,,,,,,,
ᾅδης,Matthew,11,23,9,,,,,,,
ᾅδης,Matthew,16,18,20,,,,,,,
ᾅδης,Revelation,1,18,24,,,,,,,
ᾅδης,Revelation,6,8,18,,,,,,,
ᾅδης,Revelation,20,13,15,,,,,,,
ᾅδης,Revelation,20,14,6,,,,,,,
αἱρέομαι,2 Thessalonians,2,13,15,,αἱρέω,,,,,
αἱρέομαι,Hebrews,11,25,2,,,,,,,
αἱρέομαι,Philippians,1,22,13,,,,,,,
αἰσχύνομαι,1 John,2,28,14,,αἰσχύνω,,,,,
αἰσχύνομαι,1 Peter,4,16,6,,,,,,,
αἰσχύνομαι,2 Corinthians,10,8,23,,,,,,,
αἰσχύνομαι,Luke,16,3,22,,,,,,,
αἰσχύνομαι,Philippians,1,20,10,,,,,,,
ἀκαιρέομαι,Philippians,4,10,18,,αἰσχύνω,,,,,
Ἁκελδαμάχ,Acts,1,19,17,,Ἀκελδαμά,,,,,
ἀκριβής,Acts,26,5,10,,ἀκριβέστατος,,,,,
ἅλα,Mark,9,50,17,,ἅλας,,,,,
ἀλάβαστρος,Mark,14,3,17,,ἀλάβαστρον,,,,,
ἀλάβαστρος,Mark,14,3,24,,,,,,,
ἁλληλουϊά,Revelation,19,1,13,,ἀλληλουϊα,,,,,
ἁλληλουϊά,Revelation,19,3,4,,,,,,,
ἁλληλουϊά,Revelation,19,4,23,,,,,,,
ἁλληλουϊά,Revelation,19,6,18,,,,,,,
ἀλυπότερος,Philippians,2,28,11,,ἄλυπος,,,,,
Ἄλφα,Revelation,1,8,4,,Ἀλφα,,,,,
Ἄλφα,Revelation,21,6,7,,,,,,,
Ἄλφα,Revelation,22,13,3,,,,,,,
Ἁλφαῖος,Acts,1,13,27,,Ἀλφαῖος,,,,,
Ἁλφαῖος,Luke,6,15,7,,,,,,,
Ἁλφαῖος,Mark,2,14,7,,,,,,,
Ἁλφαῖος,Mark,3,18,15,,,,,,,
Ἁλφαῖος,Matthew,10,3,12,,,,,,,
Ἀμπλιᾶτος,Romans,16,8,2,,Ἀμπλίας,,,,,
ἀμύνομαι,Acts,7,24,5,,ἀμύνω,,,,,
ἀμφότεροι,Acts,8,38,8,,ἀμφότερος,,,,,
ἀμφότεροι,Acts,19,16,15,,,,,,,
ἀμφότεροι,Acts,23,8,16,,,,,,,
