morphgnt,tbesg
αββα,ἀββά
Ἅβελ,Ἄβελ
Ἅγαβος,Ἄγαβος
ἀγαθουργέω,ἀγαθοεργέω 
Ἁγάρ,Ἄγαρ
ᾅδης,ᾍδης
αἱρέομαι,αἱρέω
αἰσχύνομαι,αἰσχύνω
ἀκαιρέομαι,αἰσχύνω
Ἁκελδαμάχ,Ἀκελδαμά
ἀκριβής,ἀκριβέστατος
ἅλα,ἅλας
ἀλάβαστρος,ἀλάβαστρον
ἁλληλουϊά,ἀλληλουϊα
ἀλυπότερος,ἄλυπος
Ἄλφα,Ἀλφα
Ἁλφαῖος,Ἀλφαῖος
Ἀμπλιᾶτος,Ἀμπλίας
ἀμύνομαι,ἀμύνω
ἀμφότεροι,ἀμφότερος
ἀναβάλλομαι,ἀναβάλλω
ἀνάγαιον,ἀνώγεον
ἀναγνωρίζομαι,ἀναγνωρίζω
ἀνακεφαλαιόω,ἀνακεφαλαιόομαι
ἀνάλημψις,ἀνάληψις
ἀναμιμνῄσκω,ἀναμιμνήσκω
ἀνανεόω,ἀνανεόομαι
Ἁνανίας,Ἀνανίας
ἀνατάσσομαι,ἀνατάσσω
ἀνατίθεμαι,ἀνατίθημι
ἀνδρίζομαι,ἀνδρίζω
ἀνέλεος,ἀνίλεως
ἀνεξεραύνητος,ἀνεξερεύνητος
ἀνεπίλημπτος,ἀνεπίληπτος
ἀνέχομαι,ἀνέχω
Ἅννα,Ἄννα
Ἅννας,Ἄννας
ἀντέχομαι,ἀντέχω
ἀντιδιατίθεμαι,ἀντιδιατίθημι
ἀντιλαμβάνομαι,ἀντιλαμβάνω
ἀντίλημψις,ἀντίληψις
Ἀντιπᾶς,Ἀντίπας
ἀντιπέρα,ἀντιπέραν
ἀντιτάσσομαι,ἀντιτάσσω
ἀνώτερον,ἀνώτερος
ἀπάγχομαι,ἀπάγχω
ἀπαλλοτριόομαι,ἀπαλλοτριόω
ἀπογίνομαι,ἀπογενόμενος
ἀποθνῄσκω,ἀποθνήσκω
ἀποκρίνομαι,ἀποκρίνω
ἀπόλλυμι,ἀπολλύω
ἀπολούομαι,ἀπολούω
ἀπομάσσομαι,ἀπομάσσω
ἀπορίπτω,ἀπορρίπτω
ἀποτάσσομαι,ἀποτάσσω
ἀποτρέπομαι,ἀποτρέπω
ἀποχωρίζομαι,ἀποχωρίζω
Ἀππίου,Ἄππιος
ἀπροσωπολήμπτως,ἀπροσωπολήπτως
ἀπωθέομαι,ἀπωθέω
ἄραφος,ἄρραφος
ἀργυροῦς,ἀργύρεος
Ἄρειος,Ἄρειος Πάγος
Ἁρέτας,Ἀρέτας
Ἁριμαθαία,Ἀριμαθαία
Ἁρμαγεδών,Ἀρμαγεδδών
ἁρμόζομαι,ἁρμόζω
Ἀρνί,Ἀρνὶ
Ἀρτεμᾶς,Ἀρτεμάς
Ἀσάφ,Ἀσά
Ἆσσος,Ἄσσος
Αὐγοῦστος,Αὔγουστος
αὔξω,αὐξάνω
ἀφθορία,ἀφθαρσία
ἀφίσταμαι,ἀφίστημι
Ἀχίμ,Ἀχείμ
ἀχρειόομαι,ἀχρειόω
ἄχρις,ἄχρι
Ἄψινθος,ἄψινθος
βάϊον,βαΐον
βαπτιστής,Βαπτιστής
Βαριωνᾶ,Βαριωνᾶς
Βαρναβᾶς,Βαρνάβας
Βαρσαββᾶς,Βαρσαβᾶς
βατταλογέω,βαττολογέω
Βελιάρ,Βελίαλ
βέλτιον,βελτίων
Βηθεσδά,Βηθζαθά
Βηθλέεμ,Βηθλεέμ
Βηθσαϊδάν,Βηθσαϊδά
βλητέος,βλητέον
Βοανηργές,Βοανεργές
Βόες,Βοόζ
Βόος,Βοόζ
βουλεύομαι,βούλομαι
βραχύ,βραχύς
Γαββαθα,γαββαθά
Γεθσημανί,Γεθσημανῆ
γενεαλογέομαι,γενεαλογέω
γεύομαι,γεύω
δανιστής,δανειστής
δείκνυμι,δεικνύω
δεσμόν,δεσμός
διαβεβαιόομαι,διαβεβαιόω
Διάβολος,διάβολος
διαλέγομαι,διαλέγω
διαλλάσσομαι,διαλλάσσω
διαπονέομαι,διαπονέω
διαπορεύομαι,διαπορεύω
διαπρίομαι,διαπρίω
διαστέλλομαι,διαστέλλω
